%CC,20926,79387
%CF,27619,99158
%CC,11068,126214
%CC,11068,39992
%CC,37441,135872
%CC,10509,38070
%CC,10509,38102
%CC,10509,38094
%CC,27695,99352
%CC,10076,36292
%CC,23312,87253
%CC,1004814,1015544
%CC,23253,87144
%CC,10372,37517
%CC,10217,36855
%CC,10139,84427
%CC,11068,1015711
%CC,1000979,1025715
%CC,10509,38090
%CC,10509,38069
%CC,1000979,1029363
%CC,10509,38076
%CC,47299,139071
%CC,10939,39672
%CC,10939,1016991
%CC,11068,1015706
%CC,1000889,1003112
%CC,1013513,1039874
%CC,1009864,1030665
%CC,10824,39154
%CC,10824,39156
%CC,10824,39159
%CC,10784,39028
%CC,10784,39032
%CC,10784,39026
%CC,1008552,1032106
%CC,10784,39030
%CC,10784,39033
%CC,10784,39043
%CC,22231,84190
%CC,38962,126958
%CC,38962,1017815
%CC,38962,1023613
%CC,38962,1018277
%CC,10513,38118
%CC,34636,114467
%CC,1008527,1029817
%CC,1008527,1029817
%CC,1171,37260
%CC,24824,139234
%CC,52467,151083
%CC,52467,151084
%CC,10270,37077
%CC,38962,1023606
%CC,10605,38383
%CC,10150,36645
%CC,10605,38384
%CF,29159,1015365
%CC,10372,37526
%CC,10509,38083
%CC,43842,132780
%CC,10509,38093
%CC,11068,39992
%CC,37441,135872
%CC,43657,132426
%CC,10832,39205
